Index,SPY.Adjusted,IVE.Adjusted,IVW.Adjusted,MTUM.Adjusted,X2.YR,X10.YR
2018-06-19,255.099091,100.053497,39.658741,106.849358,2.54,2.89
2018-06-20,255.534271,100.044563,39.794312,107.433548,2.56,2.93
2018-06-21,253.932465,99.48954,39.518402,106.444206,2.56,2.9
2018-06-22,254.395416,99.981888,39.45657,105.67157,2.56,2.9
2018-06-25,250.932373,99.140434,38.759686,103.297134,2.54,2.87
2018-06-26,251.487885,99.179169,38.895657,103.779167,2.53,2.88
2018-06-27,249.404526,98.773735,38.444786,102.333054,2.52,2.83
2018-06-28,250.83049,99.179169,38.750134,103.486183,2.52,2.84
2018-06-29,251.191589,99.224205,38.790695,103.684662,2.52,2.85
2018-07-02,251.728622,99.134109,39.019707,104.128883,2.57,2.87
2018-07-03,250.839722,99.143135,38.7239,103.278221,2.53,2.83
2018-07-05,252.886124,99.737747,39.124664,103.977661,2.55,2.84
2018-07-06,255.024994,100.323387,39.527802,104.922813,2.53,2.82
2018-07-09,257.32132,101.269409,39.888023,106.123184,2.57,2.86
2018-07-10,258.247284,101.647835,39.997761,106.387817,2.59,2.87
2018-07-11,256.358398,100.791916,39.799755,105.830185,2.58,2.85
2018-07-12,258.682526,101.170326,40.288784,107.304634,2.6,2.85
2018-07-13,258.886292,101.224373,40.348431,107.143959,2.59,2.83
2018-07-16,258.654724,101.323471,40.269695,107.210121,2.59,2.85
2018-07-17,259.70108,101.458633,40.522568,107.786667,2.62,2.86
2018-07-18,260.247406,101.809998,40.555965,108.060768,2.6,2.88
2018-07-19,259.26593,101.485649,40.384201,107.323547,2.6,2.84
2018-07-20,258.969574,101.251411,40.386593,107.418053,2.6,2.89
2018-07-23,259.45108,101.458633,40.448612,107.616547,2.64,2.96
2018-07-24,260.756683,101.918114,40.634678,107.531471,2.63,2.95
2018-07-25,262.978973,102.39563,41.176193,108.968147,2.66,2.94
2018-07-26,262.358551,102.864151,40.782589,108.637306,2.69,2.98
2018-07-27,260.580719,102.728996,40.353203,107.002197,2.67,2.96
2018-07-30,259.219543,102.954239,39.854626,105.121307,2.66,2.98
2018-07-31,260.497375,103.179466,40.119419,105.508827,2.67,2.96
2018-08-01,260.062225,102.602867,40.253006,105.726219,2.67,3
2018-08-02,261.479004,102.683952,40.579819,106.822609,2.66,2.98
2018-08-03,262.599335,103.36869,40.713413,106.85096,2.63,2.95
2018-08-06,263.562317,103.611938,40.892323,107.408607,2.64,2.94
2018-08-07,264.432617,103.963333,41.016369,107.918999,2.68,2.98
2018-08-08,264.321564,103.774124,41.042606,108.108009,2.68,2.96
2018-08-09,263.96051,103.476814,41.035458,108.126938,2.64,2.93
2018-08-10,262.191803,102.84613,40.74202,107.588181,2.61,2.87
2018-08-13,261.210419,102.233467,40.658535,107.09671,2.61,2.88
2018-08-14,262.877075,102.945236,40.897095,107.852829,2.63,2.89
2018-08-15,260.914032,102.251472,40.579819,106.425644,2.61,2.86
2018-08-16,263.025299,103.395721,40.804058,107.219566,2.63,2.87
2018-08-17,263.951172,103.909279,40.878002,107.295174,2.61,2.87
2018-08-20,264.516022,104.332726,40.928116,107.862297,2.6,2.82
2018-08-21,265.136414,104.575996,41.006828,108.211983,2.61,2.85
2018-08-22,264.979004,104.287682,41.076012,108.675117,2.6,2.82
2018-08-23,264.627197,104.017395,41.054535,108.807449,2.61,2.82
2018-08-24,266.219757,104.431847,41.378963,110.017281,2.63,2.82
2018-08-27,268.321655,105.125595,41.727245,110.915169,2.67,2.85
