Index,XLC.Adjusted,XLY.Adjusted,XLP.Adjusted,XLE.Adjusted,XLF.Adjusted,XLV.Adjusted,XLI.Adjusted,XLB.Adjusted,XLRE.Adjusted,XLK.Adjusted,XLU.Adjusted
2018-06-19,48.00061,106.730087,45.215733,59.191082,24.876047,78.457939,67.468735,53.212795,27.061684,67.898911,43.47784
2018-06-20,48.596302,107.23616,45.26001,59.452438,24.812384,78.624367,67.514801,53.03994,27.353775,68.041504,43.512493
2018-06-21,48.298458,106.472313,45.34856,58.351601,24.739614,78.171341,66.667168,52.475876,27.517008,67.5187,43.659756
2018-06-22,48.50983,106.290878,45.720486,59.515808,24.621376,78.522659,66.897514,53.240101,27.757561,67.300072,43.962952
2018-06-25,47.510609,103.980217,45.950726,58.319931,24.357611,77.801514,66.049873,52.412205,27.688828,65.902733,44.690609
2018-06-26,47.589397,104.724991,45.755909,59.05645,24.275753,77.561127,66.298645,52.612347,27.834877,66.168884,44.742588
2018-06-27,47.174343,103.369118,45.658504,59.848415,23.975599,76.904709,65.764259,52.448582,27.757561,65.265854,44.959164
2018-06-28,47.645126,104.180717,45.658504,59.769234,24.184795,77.006386,65.856422,52.648739,28.032469,66.064323,44.94183
2018-06-29,47.587475,104.36216,45.631935,60.14143,24.184795,77.163551,65.994606,52.830692,28.101198,66.03582,45.011131
2018-07-02,47.885326,104.505341,45.366272,59.254448,24.303036,77.403954,66.142021,52.548656,27.937971,66.62516,45.33165
2018-07-03,47.299236,103.980217,45.472542,59.626675,24.084743,77.588852,65.930122,52.457684,28.101198,65.836205,45.46159
2018-07-05,48.019833,104.495811,46.101273,59.563309,24.139317,78.393219,66.252571,52.912571,28.470612,66.767738,45.704144
2018-07-06,48.778843,105.316956,46.242954,59.92762,24.257559,79.521187,66.48291,53.176399,28.590885,67.547211,46.059307
2018-07-09,49.057468,106.577324,46.065845,60.822548,24.812384,80.103638,67.717461,53.64949,28.324566,68.060486,44.638638
2018-07-10,49.037292,106.80648,46.61488,61.273956,24.721428,80.408745,67.92939,54.104382,28.462017,68.222099,45.063103
2018-07-11,48.970997,106.558235,46.46434,59.97514,24.603182,79.770813,66.814575,53.194603,28.37611,67.955956,45.470249
2018-07-12,49.739624,107.264801,46.402355,60.078106,24.648663,80.658394,67.597717,53.321972,28.444843,69.030083,45.504898
2018-07-13,49.662758,107.503487,46.703442,60.394863,24.539516,80.806335,67.947823,53.294685,28.35034,68.954041,45.513565
2018-07-16,49.51865,107.770859,46.482059,59.697941,24.976097,80.316299,67.67141,52.867081,28.195696,68.792442,45.470249
2018-07-17,49.528244,107.8759,46.88055,59.460354,25.003384,80.760101,67.938614,53.558514,28.006691,69.305771,45.435612
2018-07-18,49.38414,107.809044,46.499771,59.499958,25.403584,80.824821,68.684883,53.058136,27.903603,69.191704,45.201717
2018-07-19,49.038254,107.560791,46.526337,59.515808,25.021576,80.371773,68.657227,53.249184,28.169926,68.944519,45.617519
2018-07-20,48.87492,107.083382,46.809704,59.309887,25.067051,80.214615,68.583549,53.030846,27.920788,68.963562,45.296997
2018-07-23,49.076687,106.968803,46.517471,59.048534,25.412683,80.381012,68.159721,52.739716,27.84347,69.315269,44.976479
2018-07-24,49.422569,106.653694,46.606026,59.79298,25.485443,81.111435,68.445351,53.422043,27.766146,69.695488,45.132408
2018-07-25,49.778053,107.436661,46.960243,60.29192,25.540014,82.146927,69.486443,53.840538,28.041056,70.57,45.26236
2018-07-26,47.900681,106.873329,47.208206,60.949234,25.530922,81.915779,70.020805,54.149864,28.135561,69.486366,45.747459
2018-07-27,46.991791,106.596413,47.270195,60.687908,25.585491,81.324081,70.030022,53.949718,27.877832,68.298149,45.600189
2018-07-30,46.251995,105.746635,47.217056,61.18684,25.603683,81.370293,69.339035,53.849651,27.852057,67.233513,45.32299
2018-07-31,46.559444,106.243149,47.43845,61.075951,25.421778,82.220894,70.868416,54.340916,28.393295,67.414124,45.730137
2018-08-01,46.367279,105.718002,47.039944,60.228558,25.421778,82.239388,69.910248,53.785954,28.582293,68.022484,45.435612
2018-08-02,46.674732,106.443649,47.518139,59.895916,25.43087,82.544495,69.818108,53.431141,28.444843,68.878014,45.660831
2018-08-03,46.991791,106.80648,48.076035,59.587067,25.576397,83.034515,69.882591,53.94062,28.814249,69.125168,46.171932
2018-08-06,47.46257,107.522598,48.120312,59.808811,25.712831,83.182434,69.983963,53.922421,28.754114,69.495865,46.206577
2018-08-07,47.520226,108.019112,47.828072,60.252327,25.831074,83.191681,70.481476,54.104382,28.693979,69.762032,46.13728
2018-08-08,47.481785,108.13369,47.465,59.81675,25.894737,83.321114,70.168213,53.876926,28.513571,69.952148,45.894722
2018-08-09,47.741199,108.534698,47.323322,59.262367,25.740118,83.228653,69.781258,54.168064,28.565115,69.980667,46.102619
2018-08-10,47.337677,107.627617,47.14621,59.626675,25.439968,82.868073,69.163971,53.385651,28.290201,69.419823,45.903385
2018-08-13,47.270424,107.083382,47.14621,58.866394,25.194389,82.895798,68.832291,52.848892,28.281607,69.324783,45.96402
2018-08-14,47.606693,108.124153,47.473862,59.008949,25.43087,83.284149,69.311386,53.294685,28.393295,69.752502,46.059307
2018-08-15,46.943752,106.80648,47.668682,56.949844,25.230772,83.145454,68.979691,52.448582,28.642427,69.125168,46.483788
2018-08-16,46.924541,107.331627,48.350544,57.36166,25.567303,83.959061,69.85495,52.76701,28.865805,69.429352,46.986221
2018-08-17,46.703568,107.427124,48.722469,57.504215,25.621876,84.217949,70.278755,53.158207,29.140707,69.533905,47.228771
2018-08-20,46.780411,108.190987,48.695911,57.892269,25.703733,84.495308,70.748642,53.531223,29.175074,69.429352,47.064178
2018-08-21,47.068657,109.050316,48.350544,58.185303,25.803785,84.495308,71.273796,53.740467,28.908751,69.543404,46.726341
2018-08-22,47.011009,109.164909,48.049458,58.882221,25.712831,84.578499,70.582794,53.467533,28.728334,69.752502,46.379822
2018-08-23,46.818851,109.059875,47.934341,58.605049,25.594589,84.550781,70.380127,53.103622,28.659613,69.904617,46.345188
2018-08-24,47.500999,109.699593,47.872356,59.032703,25.685543,84.957581,70.684151,53.795055,28.857206,70.608032,46.544415
2018-08-27,47.962173,110.406174,47.898922,59.468269,26.031168,85.262695,71.577843,54.531967,28.814249,71.254417,46.25856
2018-08-28,47.750805,110.625771,47.739517,59.214836,26.00388,85.308922,71.43042,54.322716,29.166483,71.377975,46.163265
2018-08-29,48.019833,111.86705,47.79266,59.579147,25.994791,85.863655,71.485695,54.732136,29.123531,72.024368,46.501106
2018-08-30,47.721981,111.22731,47.642113,59.412834,25.794689,85.798943,70.988182,54.086185,28.968885,71.805748,46.518436
2018-08-31,47.251209,111.666534,47.624401,58.953495,25.767405,85.780449,71.034241,53.922421,29.080572,71.86277,46.319191
2018-09-04,46.665131,111.876579,47.562412,58.82679,25.894737,85.096252,70.978973,53.549419,28.822844,71.587112,46.5271
2018-09-05,46.05983,110.673523,48.111446,58.747585,25.912931,85.438362,71.485695,53.904232,29.003254,70.693588,47.176785
2018-09-06,45.713951,110.367973,48.244282,57.662601,25.794689,85.438362,71.706833,54.013393,29.097754,70.180267,47.445339
2018-09-07,45.810032,110.358429,48.146862,57.654686,25.767405,85.567818,71.485695,53.658585,28.728334,69.942642,46.864941
2018-09-10,45.906101,110.769005,48.315136,57.630932,25.740118,85.345894,71.85424,53.722271,28.882975,70.161263,47.098831
2018-09-11,46.367279,111.65699,48.138016,58.177376,25.767405,85.27195,71.835823,53.831444,28.891569,70.760132,46.977551
2018-09-12,46.23278,111.86705,48.695911,58.478325,25.530922,85.697235,72.056915,53.858727,28.917341,70.465439,46.934242
2018-09-13,46.559444,112.058022,48.625065,58.502087,25.494535,86.760475,72.48996,54.067986,29.097754,71.292427,47.289413
2018-09-14,46.472969,111.637909,48.492229,58.810955,25.676447,86.473869,72.849289,54.049789,28.848616,71.23542,47.038193
2018-09-17,46.021404,110.253395,48.669338,58.905987,25.567303,86.159523,72.876923,54.240841,29.011843,70.341881,47.194122
2018-09-18,46.348068,111.65699,48.465675,59.294044,25.694641,86.658768,73.540268,54.295425,28.840031,70.788635,47.107494
2018-09-19,46.472969,111.704704,48.37711,59.476189,26.13122,86.538589,73.475769,54.886784,28.565115,70.608032,46.0853
2018-09-20,46.982189,112.46859,48.988144,59.492039,26.35861,87.379929,73.586327,55.478138,28.77989,71.444542,46.180588
2018-09-21,46.77216,111.97155,49.066608,59.885139,26.256285,87.497795,74.06218,55.358383,28.779886,71.162224,46.377251
2018-09-24,46.77216,111.243721,48.317513,60.762299,25.963938,87.674149,72.793869,54.58139,28.215574,71.515106,45.966446
2018-09-25,46.791439,111.712982,48.032124,61.15303,25.863445,87.404991,72.571686,54.298023,28.189531,71.429253,45.337132
2018-09-26,46.97448,111.97155,48.085636,60.562939,25.552828,87.599907,72.525391,53.758705,27.876989,71.162224,44.891369
2018-09-27,47.379105,112.35463,48.02322,60.562939,25.461473,88.045403,72.627243,53.292507,27.963804,71.581871,45.354607
2018-09-28,47.205688,112.258873,48.094559,60.395489,25.196531,88.314583,72.58094,52.954288,28.311071,71.848938,46.018887
2018-10-01,47.013012,111.914078,48.05888,61.232784,25.297026,88.750832,73.219704,53.484467,28.094028,72.192299,45.861557
2018-10-02,46.97448,110.400978,48.335342,61.296562,25.297026,88.64872,73.38636,53.712997,28.007212,72.201836,46.482132
2018-10-03,47.186417,110.027473,47.818096,61.790951,25.534559,88.481659,73.691872,53.329075,27.685986,72.421211,45.922741
2018-10-04,46.512051,108.30365,47.702164,61.535778,25.708138,87.618484,73.451172,53.082268,27.555765,71.11451,46.167473
2018-10-05,46.068893,107.489616,47.657578,61.527813,25.580235,87.51638,73.071602,52.68919,27.564445,70.217964,46.875465
2018-10-08,45.914761,107.767349,48.317513,61.479958,25.753815,87.479248,73.256767,52.661781,27.920397,69.426315,47.26878
2018-10-09,45.885849,107.451302,48.210491,62.03017,25.653324,87.627754,72.127319,50.915825,28.015896,69.674294,47.461075
2018-10-10,44.074699,103.831299,47.630833,60.084511,24.858511,85.557945,69.803604,49.581234,27.573128,66.29789,47.198864
2018-10-11,43.698978,102.002129,46.453659,58.051117,24.118511,83.246826,67.961327,49.005337,26.765736,65.458557,46.333542
2018-10-12,44.671993,103.888763,46.712276,58.210598,24.145918,84.527695,68.414948,49.142456,26.748367,67.556877,46.281105
2018-10-15,44.498589,103.649338,46.99765,57.72419,24.036285,83.942963,68.544556,48.977917,26.913317,66.450493,46.499619
2018-10-16,45.673916,105.727516,47.5238,58.202641,24.438259,86.244781,69.701775,49.764038,27.416861,68.453438,46.980347
2018-10-17,45.856949,104.856003,47.746761,57.835823,24.684929,86.699585,69.192589,49.444107,27.338722,68.138695,46.892944
2018-10-18,45.01881,102.844894,47.684334,57.548744,24.273817,85.715729,67.998344,48.886501,27.347401,66.803406,46.96286
2018-10-19,45.009174,101.83934,48.77232,57.038418,24.365175,84.936081,67.748375,48.539139,27.625217,66.774796,47.697067
2018-10-22,44.980278,102.251129,48.406689,56.408474,23.844433,84.23996,67.516945,48.155224,27.234541,67.327972,47.391155
2018-10-23,44.883942,102.270294,48.620716,54.933262,23.652584,83.785149,66.406013,47.679878,27.408173,67.070457,47.128937
2018-10-24,42.745224,99.215309,48.825829,52.764317,23.058754,81.019226,64.156372,46.1716,27.729397,64.06601,48.273949
2018-10-25,44.1614,102.212837,48.941769,53.410217,23.415047,82.068054,64.610008,46.765774,28.059303,66.269287,47.522259
2018-10-26,42.966812,99.03334,48.005375,53.01152,23.077024,81.139893,63.971226,46.491535,27.33004,64.943504,46.648205
2018-10-29,42.302074,98.161865,48.558289,52.022736,23.278013,81.344086,62.906551,46.381851,27.781487,63.846645,47.303734
