Index,SPY.Adjusted
2007-01-03,103.00695
2007-01-04,103.225517
2007-01-05,102.402176
2007-01-08,102.875771
2007-01-09,102.788345
2007-01-10,103.130829
2007-01-11,103.58255
2007-01-12,104.369545
2007-01-16,104.165482
2007-01-17,104.209206
2007-01-18,103.859444
2007-01-19,104.063522
2007-01-22,103.742867
2007-01-23,104.048927
2007-01-24,104.886803
2007-01-25,103.655449
2007-01-26,103.560692
2007-01-29,103.502441
2007-01-30,104.041565
2007-01-31,104.741112
2007-02-01,105.367722
2007-02-02,105.513474
2007-02-05,105.542595
2007-02-06,105.571762
2007-02-07,105.804909
2007-02-08,105.666481
2007-02-09,104.879524
2007-02-12,104.522476
2007-02-13,105.404167
2007-02-14,106.096336
2007-02-15,106.234818
2007-02-16,106.183769
2007-02-20,106.409698
2007-02-21,106.365974
2007-02-22,106.285789
2007-02-23,105.870453
2007-02-26,105.775749
2007-02-27,101.644432
2007-02-28,102.686348
2007-03-01,102.380341
2007-03-02,101.039642
2007-03-05,100.077812
2007-03-06,101.790108
2007-03-07,101.68811
2007-03-08,102.547951
2007-03-09,102.577034
2007-03-12,102.730103
2007-03-13,100.733604
2007-03-14,101.484123
2007-03-15,101.622551
2007-03-16,101.337982
2007-03-19,102.559639
2007-03-20,103.122917
2007-03-21,104.820045
2007-03-22,104.739578
2007-03-23,104.893173
2007-03-26,104.754204
2007-03-27,104.505516
2007-03-28,103.74469
2007-03-29,103.854431
2007-03-30,103.876366
2007-04-02,103.993393
2007-04-03,105.112679
2007-04-04,105.229713
2007-04-05,105.514977
2007-04-09,105.661324
2007-04-10,105.785652
2007-04-11,105.354034
2007-04-12,105.822235
2007-04-13,106.305031
2007-04-16,107.31456
2007-04-17,107.599815
2007-04-18,107.731491
2007-04-19,107.702263
2007-04-20,108.719055
2007-04-23,108.309425
2007-04-24,108.35334
2007-04-25,109.348175
2007-04-26,109.472572
2007-04-27,109.384735
2007-04-30,108.477654
2007-05-01,108.755661
2007-05-02,109.392075
2007-05-03,109.984573
2007-05-04,110.401588
2007-05-07,110.423576
2007-05-08,110.277214
2007-05-09,110.577141
2007-05-10,109.421379
2007-05-11,110.357643
2007-05-14,110.116257
2007-05-15,110.145538
2007-05-16,110.89901
2007-05-17,110.67955
2007-05-18,111.645142
2007-05-21,111.586662
2007-05-22,111.498856
2007-05-23,111.513428
2007-05-24,110.50396
2007-05-25,110.964844
2007-05-29,111.367203
2007-05-30,112.274254
